phenocode;pheno_sex;description;description_more
25883;both_sexes;Volume of grey matter in Putamen (right);Volume of grey matter in Right Putamen
25884;both_sexes;Volume of grey matter in Pallidum (left);Volume of grey matter in Left Pallidum
25885;both_sexes;Volume of grey matter in Pallidum (right);Volume of grey matter in Right Pallidum
25886;both_sexes;Volume of grey matter in Hippocampus (left);Volume of grey matter in Left Hippocampus
25887;both_sexes;Volume of grey matter in Hippocampus (right);Volume of grey matter in Right Hippocampus
25888;both_sexes;Volume of grey matter in Amygdala (left);Volume of grey matter in Left Amygdala
25889;both_sexes;Volume of grey matter in Amygdala (right);Volume of grey matter in Right Amygdala
25890;both_sexes;Volume of grey matter in Ventral Striatum (left);Volume of grey matter in Left Ventral Striatum
25891;both_sexes;Volume of grey matter in Ventral Striatum (right);Volume of grey matter in Right Ventral Striatum
25892;both_sexes;Volume of grey matter in Brain-Stem;Volume of grey matter in Brain-Stem
25893;both_sexes;Volume of grey matter in I-IV Cerebellum (left);Volume of grey matter in Left I-IV Cerebellum
25894;both_sexes;Volume of grey matter in I-IV Cerebellum (right);Volume of grey matter in Right I-IV Cerebellum
25895;both_sexes;Volume of grey matter in V Cerebellum (left);Volume of grey matter in Left V Cerebellum
25896;both_sexes;Volume of grey matter in V Cerebellum (right);Volume of grey matter in Right V Cerebellum
25897;both_sexes;Volume of grey matter in VI Cerebellum (left);Volume of grey matter in Left VI Cerebellum
25898;both_sexes;Volume of grey matter in VI Cerebellum (vermis);Volume of grey matter in Vermis VI Cerebellum
C92;both_sexes;C92 Myeloid leukaemia;truncated: true
25914;both_sexes;Volume of grey matter in VIIIb Cerebellum (right);Volume of grey matter in Right VIIIb Cerebellum
25915;both_sexes;Volume of grey matter in IX Cerebellum (left);Volume of grey matter in Left IX Cerebellum
25916;both_sexes;Volume of grey matter in IX Cerebellum (vermis);Volume of grey matter in Vermis IX Cerebellum
25917;both_sexes;Volume of grey matter in IX Cerebellum (right);Volume of grey matter in Right IX Cerebellum
25918;both_sexes;Volume of grey matter in X Cerebellum (left);Volume of grey matter in Left X Cerebellum
25919;both_sexes;Volume of grey matter in X Cerebellum (vermis);Volume of grey matter in Vermis X Cerebellum
25920;both_sexes;Volume of grey matter in X Cerebellum (right);Volume of grey matter in Right X Cerebellum
2714;both_sexes;Age when periods started (menarche);"ACE touchscreen question ""How old were you when your periods started?"" The following checks were performed:  If answer   If answer > Participants age then rejected  If answer > 25 then rejected  If answer   If answer > 20 then participant asked to confirm   If the participant activated the Help button they were shown the message:     If you are unsure, please provide an estimate or select Do not know.     "
2724;both_sexes;Had menopause;"ACE touchscreen question ""Have you had your menopause (periods stopped)?"""
2804;both_sexes;Age when last used oral contraceptive pill;"ACE touchscreen question ""How old were you when you last used the contraceptive pill?"" The following checks were performed:  If answer   If answer > Participants age then rejected  If answer   If answer > 60 then participant asked to confirm   If the participant activated the Help button they were shown the message:     If you are currently taking the pill select Still taking the pill. If you are unsure, please provide an estimate or select Do not know.      ~F2804~ was collected from women who indicated that they had taken the contraceptive pill, as defined by their answers to ~F2784~"
2814;both_sexes;Ever used hormone-replacement therapy (HRT);"ACE touchscreen question ""Have you ever used hormone replacement therapy (HRT)?"""
2824;both_sexes;Age at hysterectomy;"ACE touchscreen question ""How old were you when you had your hysterectomy?"" The following checks were performed:  If answer   If answer > Participants age then rejected  If answer   If answer > 69 then participant asked to confirm  If answer    If the participant activated the Help button they were shown the message:     If you are unsure, please provide an estimate or select Do not know.      ~F2824~ was collected from women who indicated they have had a hysterectomy (womb removed), as defined by their answers to ~F2724~ and ~F2724~"
2834;both_sexes;Bilateral oophorectomy (both ovaries removed);"ACE touchscreen question ""Have you had BOTH ovaries removed?"" If the participant activated the Help button they were shown the message:     Only enter Yes if you have had both ovaries removed. If you have only had one ovary removed you will be able to let the interviewer know later in the visit. If you are unsure of whether both ovaries have been removed, select Do not know.     "
2897;both_sexes;Age stopped smoking;"ACE touchscreen question ""How old were you when you last smoked on most days?"" The following checks were performed:  If answer   If answer > Participants age then rejected  If answer    ~F2897~ was collected from participants who indicated that in the past they smoked tobacco on most or all days, as defined by their answers to ~F1249~"
30000;both_sexes;White blood cell (leukocyte) count;"Result of ""White Blood Cell Count"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. White blood count is the number of leukocytes.   Analyser operating range was 0 to 9x10^11 cells/Litre.   Typical reference range is 3.5x10^9 to 9.6x10^9 cells/Litre."
30010;both_sexes;Red blood cell (erythrocyte) count;"Result of ""Red Blood Cell Count"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Red blood cells is the number of erythrocytes.   Analyser operating range was 0 to 2x10^13 cells/Litre.   Typical reference range is 3.9x10^12 to 5.5x10^12 cells/Litre."
30020;both_sexes;Haemoglobin concentration;"Result of ""Haemoglobin Concentration"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit.   Analyser operating range was 0 to 99.9g/dL   Typical reference range is 12.1 to 16.3g/dL"
30030;both_sexes;Haematocrit percentage;"Result of ""Haematocrit"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Haematocrit Percentage is the relative volume of packed erythrocytes to whole blood, computed by the formula: (red blood cells x mean corpuscular volume) / 10.   Analyser operating range was 0 to 99.9%   Typical reference range is 35.4 to 47.2%"
30040;both_sexes;Mean corpuscular volume;"Result of ""Mean Corpuscular Volume"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Mean Corpuscular Haemoglobin Concentration (pg) is the weight of hemoglobin in the average erythrocyte, computed by the formula: MCH = (hemoglobin/red blood cells) x 10."
30050;both_sexes;Mean corpuscular haemoglobin;"Result of ""Mean Corpuscular Haemoglobin"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit."
30060;both_sexes;Mean corpuscular haemoglobin concentration;"Result of ""Mean Corpuscular Haemoglobin Concentration"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Mean Corpuscular Haemoglobin Concentration (g/dL) is the average weight of haemoglobin in a measured dilution, computed by the formula: (haemoglobin/haematocrit) x 100."
30070;both_sexes;Red blood cell (erythrocyte) distribution width;"Result of ""Red Distribution Width"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Red blood cell Distribution Width is the size distribution spread of the erythrocyte population derived from the red blood cell histogram. It is the coefficient of variation (CV) expressed in % of the red blood cell size distribution."
30080;both_sexes;Platelet count;"Result of ""Platelet Count"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Platelet count is the number of thrombocytes derived from the platelet histogram."
30090;both_sexes;Platelet crit;"Result of ""Platelet Crit"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Platelet Crit is a computed value that represents the platelet packed cell volume."
30100;both_sexes;Mean platelet (thrombocyte) volume;"Result of ""Mean Platelet Volume"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Mean Platelet Volume is the average volume of individual platelets derived from the platelet histogram."
30110;both_sexes;Platelet distribution width;"Result of ""Platelet Distribution Width"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Platelet Distribution Width is the coefficient of variation of platelet size."
30120;both_sexes;Lymphocyte count;"Result of ""Lymphocytes Number"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Lymphocyte count is the proportion of ( lymphoctyes / 100 ) x white blood cell count"
30130;both_sexes;Monocyte count;"Result of ""Monocytes Number"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Monocyte count is the proportion of ( monoctyes / 100 ) x white blood cell count."
30140;both_sexes;Neutrophill count;"Result of ""Neutrophils Number"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Neutrophils count is the proportion of ( neutrophils / 100 ) x white blood cell count."
30150;both_sexes;Eosinophill count;"Result of ""Eosinophils Number"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Eosinophils count is the proportion of ( eosinophils / 100 ) x white blood cell count."
30160;both_sexes;Basophill count;"Result of ""Basophils Number"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Basophils count is the proportion of ( basophils / 100 ) x white blood cell count."
30180;both_sexes;Lymphocyte percentage;"Result of ""Lymphocytes Percentage"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Lymphocytes (Percentage) is calculated as the proportion of lymphocytes in the leukocytes."
30190;both_sexes;Monocyte percentage;"Result of ""Monocytes Percentage"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Monocytes (percentage) is calculated as the proportion of monocytes in the leukocytes."
30200;both_sexes;Neutrophill percentage;"Result of ""Neutrophils Percentage"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Neutrophils (Percentage) is calculated as the proportion of neutrophils in the leukocytes."
30210;both_sexes;Eosinophill percentage;"Result of ""Eosinophils Percentage"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Eosinophils (Percentage) is calculated as the proportion of eosinophils in the leukocytes."
30220;both_sexes;Basophill percentage;"Result of ""Basophils Percentage"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Basophils (Percentage) is calculated as the proportion of basophils in the leukocytes."
30240;both_sexes;Reticulocyte percentage;"Result of ""Reticulocytes Percentage"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Reticulocytes (Percentage) is the number of reticulocytes as a percentage of red blood cells."
30250;both_sexes;Reticulocyte count;"Result of ""Reticulocytes Number"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Reticulocytes count is computed from the reticulocyte per cent multiplied by the red blood cell count."
30260;both_sexes;Mean reticulocyte volume;"Result of ""Mean Reticulocytes Volume"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Mean Reticulocytes volume is the average volume of all reticulocytes, calculated from the reticulocytes (percentage)."
30270;both_sexes;Mean sphered cell volume;"Result of ""Mean Sphered Cells Volume"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit."
30280;both_sexes;Immature reticulocyte fraction;"Result of ""Immature Reticulocytes Fraction"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Immature Reticulocytes Fraction (Percentage) is an indication of new reticulocyte synthesis and is calculated from the reticulocytes (Percentage) as the total number of reticulocyte events in the outermost light scattering region, corresponding to immature reticulocytes, relative to the total number of reticulocytes and is reported as this ratio."
